truth,scenario_id,axisA,axisB,rho_meas,mis_spec,bias,rmse,cover,ci_excl0,sign_error,logrr_median,rd_median
null,S13,late_surge,none,0.4,1,0.0328093609141232,0.0639242787610463,0.925,0.075,,0.0342456890207347,0.0212472778142094
non_null,S14,late_surge,none,0.7,0,0.0555645286321973,0.0892625225656503,0.845,0.43,0.04,-0.120189439984873,-0.070515882143695
null,S14,late_surge,none,0.7,0,-0.00364599513105763,0.0590475807509961,0.95,0.05,,-0.001586565267291,-0.000976775226371851
non_null,S14,late_surge,none,0.7,1,0.092909245290001,0.112598834916538,0.665,0.285,0.095,-0.0727617350566628,-0.041542031079967
null,S14,late_surge,none,0.7,1,0.0322364560807279,0.0622524562710482,0.94,0.06,,0.032027549674474,0.0199902029968567
non_null,S15,late_surge,none,1,0,0.048653908754238,0.0778143019533051,0.895,0.41,0.045,-0.117508298575528,-0.0691708512145153
null,S15,late_surge,none,1,0,-0.00652884912282003,0.0578491451369642,0.975,0.025,,-0.00708651464968774,-0.00433382317818903
non_null,S15,late_surge,none,1,1,0.084741911290547,0.101691856608775,0.75,0.24,0.075,-0.0862462892464243,-0.0508933277355556
null,S15,late_surge,none,1,1,0.0268689963927009,0.0597724144112554,0.945,0.055,,0.0247112170689995,0.0156955727408747
non_null,S16,late_surge,threshold_jump,0.4,0,0.0643736904304238,0.0941262836367979,0.845,0.325,0.075,-0.102018637819214,-0.0632438848799606
null,S16,late_surge,threshold_jump,0.4,0,-0.00687612799961803,0.0649440860159267,0.92,0.08,,0.00155070567017695,0.00101380005182466
non_null,S16,late_surge,threshold_jump,0.4,1,0.104803605167147,0.121271018207532,0.6,0.18,0.15,-0.0577518134166965,-0.0364467459988749
null,S16,late_surge,threshold_jump,0.4,1,0.0288046715924019,0.065098742054208,0.93,0.07,,0.0362049646723863,0.0240544818574558
non_null,S17,late_surge,threshold_jump,0.7,0,0.0670897257415617,0.0952142264423418,0.825,0.31,0.07,-0.108914085501509,-0.0694941695316804
null,S17,late_surge,threshold_jump,0.7,0,-0.00671545941706787,0.0701124588095512,0.945,0.055,,-0.0103825656669616,-0.00687533446817995
non_null,S17,late_surge,threshold_jump,0.7,1,0.104329783612924,0.120904137919886,0.63,0.15,0.15,-0.0658110897626015,-0.0407045132846895
null,S17,late_surge,threshold_jump,0.7,1,0.0284067640743581,0.0708211025229837,0.905,0.095,,0.0275443848335503,0.0180130297329329
non_null,S18,late_surge,threshold_jump,1,0,0.062027453089941,0.0947242760090772,0.85,0.34,0.05,-0.105109643831079,-0.0651431899538674
null,S18,late_surge,threshold_jump,1,0,0.0105086230628651,0.0646934587836436,0.955,0.045,,0.0124119994613349,0.00787273469905814
non_null,S18,late_surge,threshold_jump,1,1,0.0969060778927857,0.113823911988412,0.62,0.2,0.13,-0.0668212158015296,-0.0422423960584271
null,S18,late_surge,threshold_jump,1,1,0.0456714348796868,0.0744568677015123,0.87,0.13,,0.0465260262722334,0.030140760164229
